resp,S1,S2,S3
1,r_2_art_rain.jpeg,r_3_art_rain.jpeg,r_5_art_rain.jpeg
0,r_0_rain.jpeg,r_1_rain.jpeg,r_2_rain.jpeg
1,r_0_rain.jpeg,r_3_rain.jpeg,r_4_rain.jpeg
1,r_1_art_rain.jpeg,r_2_art_rain.jpeg,r_5_art_rain.jpeg
1,r_0_rain.jpeg,r_4_rain.jpeg,r_5_rain.jpeg
1,r_3_art_rain.jpeg,r_4_art_rain.jpeg,r_5_art_rain.jpeg
1,r_1_rain.jpeg,r_4_rain.jpeg,r_5_rain.jpeg
1,r_1_rain.jpeg,r_2_rain.jpeg,r_4_rain.jpeg
1,r_2_norain.jpeg,r_3_norain.jpeg,r_5_norain.jpeg
0,r_3_art_rain.jpeg,r_2_art_rain.jpeg,r_0_art_rain.jpeg
0,r_5_norain.jpeg,r_3_norain.jpeg,r_1_norain.jpeg
0,r_4_art_rain.jpeg,r_3_art_rain.jpeg,r_2_art_rain.jpeg
0,r_5_art_rain.jpeg,r_4_art_rain.jpeg,r_1_art_rain.jpeg
1,r_0_art_rain.jpeg,r_4_art_rain.jpeg,r_5_art_rain.jpeg
1,r_0_rain.jpeg,r_2_rain.jpeg,r_4_rain.jpeg
0,r_5_art_rain.jpeg,r_3_art_rain.jpeg,r_0_art_rain.jpeg
0,r_1_art_rain.jpeg,r_3_art_rain.jpeg,r_4_art_rain.jpeg
0,r_5_norain.jpeg,r_2_norain.jpeg,r_0_norain.jpeg
1,r_4_norain.jpeg,r_3_norain.jpeg,r_0_norain.jpeg
0,r_4_norain.jpeg,r_2_norain.jpeg,r_0_norain.jpeg
0,r_3_rain.jpeg,r_2_rain.jpeg,r_0_rain.jpeg
0,r_5_norain.jpeg,r_4_norain.jpeg,r_0_norain.jpeg
1,r_3_norain.jpeg,r_1_norain.jpeg,r_0_norain.jpeg
0,r_5_art_rain.jpeg,r_2_art_rain.jpeg,r_0_art_rain.jpeg
1,r_3_norain.jpeg,r_2_norain.jpeg,r_0_norain.jpeg
1,r_1_norain.jpeg,r_2_norain.jpeg,r_4_norain.jpeg
0,r_5_norain.jpeg,r_4_norain.jpeg,r_1_norain.jpeg
0,r_5_rain.jpeg,r_2_rain.jpeg,r_0_rain.jpeg
0,r_4_norain.jpeg,r_1_norain.jpeg,r_0_norain.jpeg
0,r_5_norain.jpeg,r_2_norain.jpeg,r_1_norain.jpeg
1,r_1_norain.jpeg,r_3_norain.jpeg,r_4_norain.jpeg
1,r_1_art_rain.jpeg,r_2_art_rain.jpeg,r_4_art_rain.jpeg
0,r_1_norain.jpeg,r_2_norain.jpeg,r_3_norain.jpeg
1,r_3_norain.jpeg,r_4_norain.jpeg,r_5_norain.jpeg
1,r_1_rain.jpeg,r_2_rain.jpeg,r_5_rain.jpeg
1,r_0_art_rain.jpeg,r_1_art_rain.jpeg,r_3_art_rain.jpeg
0,r_4_rain.jpeg,r_3_rain.jpeg,r_1_rain.jpeg
0,r_5_art_rain.jpeg,r_4_art_rain.jpeg,r_2_art_rain.jpeg
1,r_4_art_rain.jpeg,r_1_art_rain.jpeg,r_0_art_rain.jpeg
0,r_0_art_rain.jpeg,r_3_art_rain.jpeg,r_4_art_rain.jpeg
1,r_2_norain.jpeg,r_4_norain.jpeg,r_5_norain.jpeg
1,r_0_art_rain.jpeg,r_2_art_rain.jpeg,r_4_art_rain.jpeg
0,r_5_norain.jpeg,r_1_norain.jpeg,r_0_norain.jpeg
0,r_2_art_rain.jpeg,r_1_art_rain.jpeg,r_0_art_rain.jpeg
0,r_5_norain.jpeg,r_3_norain.jpeg,r_0_norain.jpeg
0,r_1_art_rain.jpeg,r_2_art_rain.jpeg,r_3_art_rain.jpeg
0,r_5_art_rain.jpeg,r_3_art_rain.jpeg,r_1_art_rain.jpeg
1,r_1_rain.jpeg,r_2_rain.jpeg,r_3_rain.jpeg
0,r_5_rain.jpeg,r_3_rain.jpeg,r_1_rain.jpeg
0,r_5_rain.jpeg,r_4_rain.jpeg,r_2_rain.jpeg
0,r_5_rain.jpeg,r_3_rain.jpeg,r_2_rain.jpeg
1,r_0_rain.jpeg,r_3_rain.jpeg,r_5_rain.jpeg
1,r_0_rain.jpeg,r_1_rain.jpeg,r_3_rain.jpeg
1,r_0_art_rain.jpeg,r_1_art_rain.jpeg,r_5_art_rain.jpeg
1,r_0_rain.jpeg,r_1_rain.jpeg,r_4_rain.jpeg
0,r_4_rain.jpeg,r_3_rain.jpeg,r_2_rain.jpeg
1,r_0_rain.jpeg,r_1_rain.jpeg,r_5_rain.jpeg
0,r_5_rain.jpeg,r_4_rain.jpeg,r_3_rain.jpeg
0,r_4_norain.jpeg,r_3_norain.jpeg,r_2_norain.jpeg
0,r_2_norain.jpeg,r_1_norain.jpeg,r_0_norain.jpeg
